team,year_num,price
ATL,2017,80
CHC,2017,130
STL,2017,75
TBD,2017,89
NYY,2017,117
LAD,2017,64
MIL,2017,66
CIN,2017,80
PHI,2017,60
HOU,2017,73
SDP,2017,82
BOS,2017,99
CLE,2017,70
WSN,2017,72
MIA,2017,62
SEA,2017,67
MIN,2017,60
TOR,2017,62
COL,2017,72
CHW,2017,56
SFG,2017,77
OAK,2017,64
BAL,2017,73
DET,2017,79
ARI,2017,66
NYM,2017,86
TEX,2017,75
PIT,2017,71
LAA,2017,52
KCR,2017,74
ATL,2016,34
CHC,2016,69
STL,2016,48
TBD,2016,57
NYY,2016,80
LAD,2016,48
MIL,2016,53
CIN,2016,68
PHI,2016,53
HOU,2016,65
SDP,2016,73
BOS,2016,91
CLE,2016,66
WSN,2016,69
MIA,2016,60
SEA,2016,66
MIN,2016,59
TOR,2016,62
COL,2016,72
CHW,2016,56
SFG,2016,77
OAK,2016,65
BAL,2016,76
DET,2016,83
ARI,2016,70
NYM,2016,92
TEX,2016,81
PIT,2016,79
LAA,2016,61
KCR,2016,91